Task,Participant,AOI,AOI_No,Duration_of_interval,Total_duration_of_fixations,reliance
2,p116,project structure,AOI_4,1118547,742,NA
2,p116,stack trace,AOI_5,1154493,5417,NA
1,p117,code pane,AOI_2,1066931,367928,0.124566631
1,p117,copiilot,AOI_3,1066931,132904,NA
1,p117,project structure,AOI_4,1066931,892,NA
1,p117,stack trace,AOI_5,1066931,20796,NA
2,p117,chat,AOI_1,1046740,91332,0.087253759
2,p117,code pane,AOI_2,1046740,400979,NA
2,p117,project structure,AOI_4,1046740,708,NA
2,p117,stack trace,AOI_5,1046740,733,NA
1,p118,code pane,AOI_2,1013097,441713,0.112926008
1,p118,copilot,AOI_3,1013097,114405,NA
1,p118,project structure,AOI_4,1013097,2187,NA
1,p118,stack trace,AOI_5,1013097,26571,NA
2,p118,chat,AOI_1,1010422,46317,0.045839263
2,p118,code pane,AOI_2,1010422,519163,NA
2,p118,project structure,AOI_4,1010422,292,NA
2,p118,stack trace,AOI_5,1010422,9954,NA
1,p119,code pane,AOI_2,1014137,409431,0.168043371
1,p119,copilot,AOI_3,1014137,170419,NA
1,p119,project structure,AOI_4,1014137,1883,NA
1,p119,stack trace,AOI_5,1014137,3668,NA
2,p119,chat,AOI_1,1063338,33283,0.03130049
2,p119,code pane,AOI_2,1063338,333516,NA
2,p119,project structure,AOI_4,1063338,663,NA
2,p119,stack trace,AOI_5,1014137,367,NA
1,p120,code pane,AOI_2,893261,387790,0.01061168
1,p120,copilot,AOI_3,893261,10258,NA
1,p120,project structure,AOI_4,893261,9479,NA
1,p120,stack trace,AOI_5,893261,675,NA
2,p120,chat,AOI_1,1123765,38933,0.034645144
2,p120,code pane,AOI_2,1123765,437789,NA
2,p120,project structure,AOI_4,1123765,19954,NA
2,p120,stack trace,AOI_5,1123765,6937,NA
1,p121,code pane,AOI_2,1049291,525966,0.030436743
1,p121,copilot,AOI_3,1049291,31937,NA
1,p121,project structure,AOI_4,1049291,492,NA
1,p121,stack trace,AOI_5,1049291,26142,NA
2,p121,chat,AOI_1,1182194,3458,0.00292507
2,p121,code pane,AOI_2,1182194,646256,NA
2,p121,project structure,AOI_4,1182194,1783,NA
2,p121,stack trace,AOI_5,1182194,13767,NA
1,p122,code pane,AOI_2,1102446,319007,0.056570571
1,p122,copilot,AOI_3,1102446,62366,NA
1,p122,project structure,AOI_4,1102446,175,NA
1,p122,stack trace,AOI_5,1102446,21033,NA
2,p122,chat,AOI_1,1007539,42721,0.042401336
2,p122,code pane,AOI_2,1007539,606592,NA
2,p122,project structure,AOI_4,1007539,3887,NA
2,p122,stack trace,AOI_5,1007539,2200,NA
1,p123,code pane,AOI_2,1016559,396745,0.109244028
1,p123,copilot,AOI_3,1016559,111053,NA
1,p123,project structure,AOI_4,1016559,167,NA
1,p123,stack trace,AOI_5,1016559,4242,NA
2,p123,chat,AOI_1,1001009,139517,0.139376369
2,p123,code pane,AOI_2,1001009,347397,NA
2,p123,project structure,AOI_4,1001009,1333,NA
2,p123,stack trace,AOI_5,1001009,3071,NA
1,p124,code pane,AOI_2,1093466,318145,0.103607245
1,p124,copilot,AOI_3,1093466,113291,NA
1,p124,project structure,AOI_4,1093466,2692,NA
1,p124,stack trace,AOI_5,1093466,2308,NA
2,p124,chat,AOI_1,1042043,7321,0.007025622
2,p124,code pane,AOI_2,1042043,324928,NA
2,p124,project structure,AOI_4,1042043,2392,NA
2,p124,stack trace,AOI_5,1042043,0,NA
1,p125,code pane,AOI_2,1029058,238763,0.111537931
1,p125,copilot,AOI_3,1029058,114779,NA
1,p125,project structure,AOI_4,1029058,5482,NA
1,p125,stack trace,AOI_5,1029058,38592,NA
2,p125,chat,AOI_1,994135,78242,0.078703597
2,p125,code pane,AOI_2,994135,286285,NA
2,p125,project structure,AOI_4,994135,2292,NA
2,p125,stack trace,AOI_5,994135,3042,NA
1,p126,code pane,AOI_2,294019,121350,0.005611882
1,p126,copilot,AOI_3,294019,1650,NA
1,p126,project structure,AOI_4,294019,592,NA
1,p126,stack trace,AOI_5,294019,1850,NA
2,p126,chat,AOI_1,1068849,29229,0.027346239
2,p126,code pane,AOI_2,1068849,479502,NA
2,p126,project structure,AOI_4,1068849,1742,NA
2,p126,stack trace,AOI_5,1068849,3471,NA
1,p127,code pane,AOI_2,1032071,414736,0.104336814
1,p127,copilot,AOI_3,1032071,107683,NA
1,p127,project structure,AOI_4,1032071,9533,NA
1,p127,stack trace,AOI_5,1032071,10792,NA
2,p127,chat,AOI_1,739091,75980,0.102801955
2,p127,code pane,AOI_2,739091,153876,NA
2,p127,project structure,AOI_4,739091,238,NA
2,p127,stack trace,AOI_5,739091,92,NA
1,p128,code pane,AOI_2,1874963,163409,0.005882783
1,p128,copilot,AOI_3,1874963,11030,NA
1,p128,project structure,AOI_4,1874963,542836,NA
1,p128,stack trace,AOI_5,1874963,306166,NA
2,p128,chat,AOI_1,1024872,71525,0.069789203
2,p128,code pane,AOI_2,1024872,591996,NA
2,p128,project structure,AOI_4,1024872,7175,NA
2,p128,stack trace,AOI_5,1024872,592,NA
1,p129,code pane,AOI_2,1051430,507429,0.059858478
1,p129,copilot,AOI_3,1051430,62937,NA
1,p129,project structure,AOI_4,1051430,15721,NA
1,p129,stack trace,AOI_5,1051430,74679,NA
2,p129,chat,AOI_1,996269,39858,0.040007267
2,p129,code pane,AOI_2,996269,269018,NA
2,p129,project structure,AOI_4,996269,0,NA
2,p129,stack trace,AOI_5,996269,6117,NA
1,p130,code pane,AOI_2,1069752,488894,0.070775282
1,p130,copilot,AOI_3,1069752,75712,NA
1,p130,project structure,AOI_4,1069752,1750,NA
1,p130,stack trace,AOI_5,1069752,7063,NA
2,p130,chat,AOI_1,1046006,61579,0.058870599
2,p130,code pane,AOI_2,1046006,480015,NA
2,p130,project structure,AOI_4,1046006,1350,NA
2,p130,stack trace,AOI_5,1046006,100,NA
1,p131,code pane,AOI_2,1071515,450209,0.088889096
1,p131,copilot,AOI_3,1071515,95246,NA
1,p131,project structure,AOI_4,1071515,2200,NA
1,p131,stack trace,AOI_5,1071515,2031,NA
2,p131,chat,AOI_1,992796,24890.3,0.025070911
2,p131,code pane,AOI_2,992796,316952,NA
2,p131,project structure,AOI_4,992796,675,NA
2,p131,stack trace,AOI_5,992796,1175,NA
1,p132,code pane,AOI_2,1010630,490382,0.044576155
1,p132,copilot,AOI_3,1010630,45050,NA
1,p132,project structure,AOI_4,1010630,2613,NA
1,p132,stack trace,AOI_5,1010630,25392,NA
2,p132,chat,AOI_1,1003061,6721,0.00670049
2,p132,code pane,AOI_2,1003061,630988,NA
2,p132,project structure,AOI_4,1003061,5058,NA
2,p132,stack trace,AOI_5,1003061,6641,NA
1,p134,code pane,AOI_2,1001801,521495,0.092159022
1,p134,copilot,AOI_3,1001801,92325,NA
1,p134,project structure,AOI_4,1001801,983,NA
1,p134,stack trace,AOI_5,1001801,9683,NA
2,p134,chat,AOI_1,978098,14346,0.014667242
2,p134,code pane,AOI_2,978098,522137,NA
2,p134,project structure,AOI_4,978098,167,NA
2,p134,stack trace,AOI_5,978098,925,NA
1,p135,code pane,AOI_2,1115785,452328,0.144941902
1,p135,copilot,AOI_3,1115785,161724,NA
1,p135,project structure,AOI_4,1115785,1343,NA
1,p135,stack trace,AOI_5,1115785,1011,NA
2,p135,chat,AOI_1,1002552,89379,0.089151485
2,p135,code pane,AOI_2,1002552,176158,NA
2,p135,project structure,AOI_4,1002552,625,NA
2,p135,stack trace,AOI_5,1002552,225,NA
1,p136,code pane,AOI_2,1222397,547159,0.100850215
1,p136,copilot,AOI_3,1222397,123279,NA
1,p136,project structure,AOI_4,1222397,38891,NA
1,p136,stack trace,AOI_5,1222397,11275,NA
2,p136,chat,AOI_1,996670,25287,0.025371487
2,p136,code pane,AOI_2,996670,426620,NA
2,p136,project structure,AOI_4,996670,0,NA
2,p136,stack trace,AOI_5,996670,12425,NA
1,p137,code pane,AOI_2,1102685,247633,NA
1,p137,copilot,AOI_3,1102685,3058,NA
1,p137,project structure,AOI_4,1102685,442,NA
1,p137,stack trace,AOI_5,1102685,3300,NA
2,p137,chat,AOI_1,1033451,129603,0.125407978
2,p137,code pane,AOI_2,1033451,197780,NA
2,p137,project structure,AOI_4,1033451,157883,NA
2,p137,stack trace,AOI_5,1033451,2125,NA
1,p138,code pane,AOI_2,1117283,617780,NA
1,p138,copilot,AOI_3,1117283,3400,NA
1,p138,project structure,AOI_4,1117283,600,NA
1,p138,stack trace,AOI_5,1117283,21575,NA
2,p138,chat,AOI_1,985144,69591,0.070640434
2,p138,code pane,AOI_2,985144,544280,NA
2,p138,project structure,AOI_4,985144,1002,NA
2,p138,stack trace,AOI_5,985144,1150,NA
1,p139,code pane,AOI_2,1178153,446906,0.086565157
1,p139,copilot,AOI_3,1178153,101987,NA
1,p139,project structure,AOI_4,1178153,2133,NA
1,p139,stack trace,AOI_5,1178153,17847,NA
2,p139,chat,AOI_1,1011397,160116,0.158311721
2,p139,code pane,AOI_2,1011397,419852,NA
2,p139,project structure,AOI_4,1011397,3725,NA
2,p139,stack trace,AOI_5,1011397,1450,NA
1,p140,code pane,AOI_2,1074016,572667,0.058072692
1,p140,copilot,AOI_3,1074016,62371,NA
1,p140,project structure,AOI_4,1074016,2575,NA
1,p140,stack trace,AOI_5,1074016,19004,NA
2,p140,chat,AOI_1,1041776,85612,0.082178895
2,p140,code pane,AOI_2,1041776,359631,NA
2,p140,project structure,AOI_4,1041776,608,NA
2,p140,stack trace,AOI_5,1041776,542,NA
1,p141,code pane,AOI_2,1088886,433960,0.113253362
1,p141,copilot,AOI_3,1088886,123320,NA
1,p141,project structure,AOI_4,1088886,9226,NA
1,p141,stack trace,AOI_5,1088886,20812,NA
2,p141,chat,AOI_1,1011392,161694,0.15987273
2,p141,code pane,AOI_2,1011392,500109,NA
2,p141,project structure,AOI_4,1011392,708,NA
2,p141,stack trace,AOI_5,1011392,21667,NA
1,p142,code pane,AOI_2,1128208,530085,0.123281345
1,p142,copilot,AOI_3,1128208,139087,NA
1,p142,project structure,AOI_4,1128208,1600,NA
1,p142,stack trace,AOI_5,1128208,22937,NA
2,p142,chat,AOI_1,1007599,2770,0.00274911
2,p142,code pane,AOI_2,1007599,565927,NA
2,p142,project structure,AOI_4,1007599,5472,NA
2,p142,stack trace,AOI_5,1007599,11475,NA
1,p143,code pane,AOI_2,1005478,608381,0.041360428
1,p143,copilot,AOI_3,1005478,41587,NA
1,p143,project structure,AOI_4,1005478,2300,NA
1,p143,stack trace,AOI_5,1005478,1933,NA
2,p143,chat,AOI_1,1203537,94408,0.078442125
2,p143,code pane,AOI_2,1203537,551825,NA
2,p143,project structure,AOI_4,1203537,2000,NA
2,p143,stack trace,AOI_5,1203537,1725,NA
1,p144,code pane,AOI_2,1139943,505189,0.084846348
1,p144,copilot,AOI_3,1139943,96720,NA
1,p144,project structure,AOI_4,1139943,900,NA
1,p144,stack trace,AOI_5,1139943,8017,NA
2,p144,chat,AOI_1,986336,50325,0.051022167
2,p144,code pane,AOI_2,986336,589737,NA
2,p144,project structure,AOI_4,986336,1483,NA
2,p144,stack trace,AOI_5,986336,3033,NA
1,p142,code pane,AOI_2,954661,358348,0.001256991
1,p142,copilot,AOI_3,954661,1200,NA
1,p142,project structure,AOI_4,954661,2050,NA
1,p142,stack trace,AOI_5,954661,1975,NA
2,p145,chat,AOI_1,1011198,24587,0.024314724
2,p145,code pane,AOI_2,1011198,557383,NA
2,p145,project structure,AOI_4,1011198,4083,NA
2,p145,stack trace,AOI_5,1011198,1504,NA
1,p146,code pane,AOI_2,1064615,474061,0.1538002
1,p146,copilot,AOI_3,1064615,163738,NA
1,p146,project structure,AOI_4,1064615,3017,NA
1,p146,stack trace,AOI_5,1064615,16108,NA
2,p146,chat,AOI_1,1025644,78971,0.076996502
2,p146,code pane,AOI_2,1025644,475305,NA
2,p146,project structure,AOI_4,1025644,1917,NA
1,p147,code pane,AOI_2,1036119,451451,0.036571089
1,p147,copilot,AOI_3,1036119,37892,NA
1,p147,project structure,AOI_4,1036119,19171,NA
1,p147,stack trace,AOI_5,1036119,1408,NA
2,p147,chat,AOI_1,1015248,23060.8,0.02271445
2,p147,code pane,AOI_2,1015248,348916,NA
2,p147,project structure,AOI_4,1015248,3517,NA
2,p147,stack trace,AOI_5,1015248,2375,NA
1,p148,code pane,AOI_2,2051367,682059,0.188561091
1,p148,copilot,AOI_3,2051367,386808,NA
1,p148,project structure,AOI_4,2051367,22688,NA
1,p148,stack trace,AOI_5,2051367,3783,NA
2,p148,chat,AOI_1,986345,48625,0.049298166
2,p148,code pane,AOI_2,986345,340639,NA
2,p148,project structure,AOI_4,986345,2000,NA
2,p148,stack trace,AOI_5,986345,1117,NA
1,p149,code pane,AOI_2,1248730,530763,0.020340666
1,p149,copilot,AOI_3,1248730,25400,NA
1,p149,project structure,AOI_4,1248730,1358,NA
1,p149,stack trace,AOI_5,1248730,2783,NA
2,p149,chat,AOI_1,1168964,24960,0.02135224
2,p149,code pane,AOI_2,1168964,549233,NA
2,p149,project structure,AOI_4,1168964,4908,NA
2,p149,stack trace,AOI_5,1168964,7617,NA
1,p150,code pane,AOI_2,1069603,489761,0.194120622
1,p150,copilot,AOI_3,1069603,207632,NA
1,p150,project structure,AOI_4,1069603,7358,NA
1,p150,stack trace,AOI_5,1069603,24562,NA
2,p150,chat,AOI_1,1005501,132324,0.131600068
2,p150,code pane,AOI_2,1005501,399195,NA
2,p150,project structure,AOI_4,1005501,825,NA
2,p150,stack trace,AOI_5,1005501,7025,NA
